user_id,signup_date,device,region,marketing_source,subscription_type,subscription_join_date,is_new_user_flag,anomaly_flag
1,2024-04-06,Android,Gyeonggi,Organic,Plus,2024-05-10,0,0
2,2023-06-21,iOS,Seoul,Paid,Free,,0,0
3,2023-09-23,iOS,Seoul,Paid,Free,,0,0
4,2023-10-01,Web,Other,Paid,Premium,2023-12-04,0,0
5,2023-04-03,Android,Other,Organic,Free,,0,0
6,2024-08-24,iOS,Gyeonggi,Organic,Free,,0,0
7,2024-01-24,Android,Gyeonggi,Paid,Plus,2024-07-19,0,0
8,2022-06-21,Android,Gyeonggi,Organic,Free,,0,0
9,2024-03-31,iOS,Seoul,Organic,Free,,0,0
10,2024-02-23,Web,Other,Organic,Free,,0,0
11,2023-09-15,iOS,Seoul,Organic,Free,,0,0
12,2023-09-14,Android,Gyeonggi,Organic,Premium,2023-10-18,0,0
13,2023-01-03,Web,Gyeonggi,Referral,Free,,0,0
14,2024-05-03,Android,Other,Referral,Free,,0,0
15,2024-08-24,Web,Seoul,Paid,Plus,2025-01-01,0,0
16,2023-06-21,iOS,Gyeonggi,Organic,Free,,0,0
17,2024-04-03,iOS,Other,Organic,Plus,2024-07-29,0,0
18,2022-08-30,Android,Other,Paid,Premium,2022-11-26,0,0
19,2024-01-22,Android,Gyeonggi,Organic,Free,,0,0
20,2024-01-28,Android,Gyeonggi,Organic,Free,,0,0
21,2023-10-05,Android,Gyeonggi,Paid,Free,,0,0
22,2024-11-28,iOS,Gyeonggi,Paid,Free,,0,0
23,2022-06-19,Android,Gyeonggi,Organic,Free,,0,0
24,2023-12-09,Android,Other,Organic,Free,,0,0
25,2023-09-13,Android,Other,Organic,Free,,0,0
26,2023-01-31,Android,Gyeonggi,Organic,Free,,0,0
27,2024-04-07,iOS,Other,Organic,Free,,0,0
28,2022-10-14,iOS,Gyeonggi,Organic,Free,,0,0
29,2024-04-25,Web,Gyeonggi,Paid,Free,,0,0
30,2024-03-12,Web,Seoul,Organic,Free,,0,0
31,2022-08-08,Android,Other,Organic,Free,,0,0
32,2024-05-30,Android,Gyeonggi,Referral,Free,,0,0
33,2023-12-19,Android,Gyeonggi,Organic,Plus,2024-04-24,0,0
34,2024-07-29,Android,Seoul,Organic,Free,,0,0
35,2023-05-08,iOS,Seoul,Paid,Plus,2023-09-09,0,0
36,2023-07-31,iOS,Seoul,Organic,Free,,0,0
