user_id,signup_date,activation_stage_14d,consistency_segment_obs_60d,consistency_score_obs_60d,active_days_obs_60d,intervisit_cv_obs_60d,revenue_60_180,has_purchase_60_180,orders_60_180,retention_last_week_180d
18169,2022-01-18,A1_view,C1,,1,,0,FALSE,0,FALSE
4118,2022-01-18,A1_view,C5,2.042010917,16,0.657586237,0,FALSE,0,FALSE
18134,2022-01-18,A1_view,C5,1.537316615,12,0.572799062,0,FALSE,0,TRUE
16352,2022-01-18,A1_view,C5,1.297792774,15,0.84883851,0,FALSE,0,FALSE
12694,2022-01-18,A0_no_activity,C4,1.094783019,9,0.531212715,0,FALSE,0,FALSE
8017,2022-01-18,A1_view,C4,0.933842577,9,0.586535015,0,FALSE,0,TRUE
21215,2022-01-18,A1_view,C3,-0.169482808,7,0.836660027,0,FALSE,0,TRUE
20567,2022-01-18,A1_view,C2,-0.935256121,5,0.970753563,0,FALSE,0,FALSE
4975,2022-01-18,A1_view,C5,1.19665505,3,0.108785659,0,FALSE,0,TRUE
1536,2022-01-18,A0_no_activity,C2,-0.614879838,3,0.731489774,0,FALSE,0,TRUE
1418,2022-01-18,A0_no_activity,C1,,2,,0,FALSE,0,FALSE
10863,2022-01-18,A0_no_activity,C1,,2,,0,FALSE,0,FALSE
26478,2022-01-18,A1_view,C1,,2,,0,FALSE,0,FALSE
4884,2022-01-18,A2_click,C5,2.115838706,15,0.567640189,0,FALSE,0,TRUE
3246,2022-01-18,A2_click,C5,1.530588864,14,0.704248074,0,FALSE,0,TRUE
28767,2022-01-18,A2_click,C3,0.212426455,13,1.092790202,0,FALSE,0,FALSE
12083,2022-01-18,A2_click,C3,-0.056975839,13,1.185395604,0,FALSE,0,TRUE
11849,2022-01-18,A2_click,C3,0.127116609,12,1.057546749,176000,TRUE,2,TRUE
9272,2022-01-18,A3_add_to_cart,C4,0.876356753,12,0.8,49000,TRUE,1,FALSE
23362,2022-01-18,A2_click,C4,1.086535108,10,0.598616079,0,FALSE,0,TRUE
9634,2022-01-18,A2_click,C4,0.806823048,10,0.694765401,11000,TRUE,1,TRUE
19934,2022-01-18,A2_click,C3,0.261316994,8,0.753143405,164000,TRUE,1,TRUE
