activation_stage_14d,consistency_segment,users,purchase_rate_180d,avg_orders_180d,avg_revenue_180d,median_revenue_180d,promo_revenue_share
A0_no_activity,C0_no_consistency_data,215,0.0,0.0,0.0,0.0,
A0_no_activity,C1_low_consistency,1211,0.014863748967795213,0.014863748967795213,3543.3526011560675,0.0,0.0
A0_no_activity,C2,968,0.04132231404958675,0.044421487603305762,8347.99958677686,0.0,0.009388055999361258
A0_no_activity,C3_mid,862,0.099767981438515091,0.11136890951276093,24116.767053364285,0.0,0.001763134900917968
A0_no_activity,C4,592,0.222972972972973,0.24155405405405392,50145.8435810811,0.0,0.012677191179724909
A0_no_activity,C5_high_consistency,198,0.35858585858585879,0.4747474747474747,110716.21111111113,0.0,0.027589410067776432
A1_view,C0_no_consistency_data,33,0.0,0.0,0.0,0.0,
A1_view,C1_low_consistency,1326,0.059577677224735975,0.061085972850678696,11230.5867269985,0.0,0.065590509864584159
A1_view,C2,1306,0.1232771822358347,0.13552833078101062,24145.571669219007,0.0,0.020743140145552709
A1_view,C3_mid,1519,0.25213956550362104,0.27913100724160661,56726.948452929573,0.0,0.0081379722172723115
A1_view,C4,1608,0.46952736318407967,0.53544776119403015,112714.15665422894,0.0,0.0207088585776432
A1_view,C5_high_consistency,1087,0.6982520699172039,1.0331186752529886,246750.43330266772,75000.0,0.012988407279771054
A2_click,C0_no_consistency_data,5,0.0,0.0,0.0,0.0,
A2_click,C1_low_consistency,2213,0.16538635336647087,0.17035698147311323,34906.950745594186,0.0,0.022926900283423427
A2_click,C2,2360,0.24194915254237315,0.25296610169491518,51645.132118644106,0.0,0.0328883261495108
A2_click,C3_mid,2332,0.334476843910806,0.36363636363636326,72730.024185248723,0.0,0.029276111749743927
A2_click,C4,2397,0.51188986232791012,0.59908218606591468,126121.19094701711,12000.0,0.01128466325345037
A2_click,C5_high_consistency,2439,0.81344813448134468,1.2332923329233292,294891.19323493267,130000.0,0.010863723409370692
A3_add_to_cart,C1_low_consistency,637,0.20094191522762961,0.20094191522762961,35849.786185243334,0.0,0.012887973189438306
A3_add_to_cart,C2,716,0.27094972067039086,0.27793296089385483,63043.200558659206,0.0,0.031811377653431221
A3_add_to_cart,C3_mid,613,0.35073409461663962,0.37846655791190847,79080.345187601924,0.0,0.00961814465044158
A3_add_to_cart,C4,640,0.51562500000000033,0.59687500000000016,131603.52671874993,14000.0,0.010011807826136917
A3_add_to_cart,C5_high_consistency,920,0.83586956521739131,1.2847826086956522,304259.36967391329,171000.0,0.012809509059165303
A4_checkout,C0_no_consistency_data,1,0.0,0.0,0.0,0.0,
A4_checkout,C1_low_consistency,150,0.29333333333333322,0.29333333333333322,65812.480000000025,0.0,0.067350143924070321
A4_checkout,C2,162,0.21604938271604951,0.22222222222222221,46679.839506172859,0.0,0.035721927170293467
A4_checkout,C3_mid,182,0.37912087912087905,0.38461538461538469,90807.710439560426,0.0,0.0010893263390344939
A4_checkout,C4,239,0.51046025104602544,0.573221757322176,117849.3623430962,11000.0,0.014947015404133953
A4_checkout,C5_high_consistency,381,0.83989501312335968,1.2834645669291336,320750.86167978984,147000.0,0.016734669244352966
A5_purchase,C1_low_consistency,356,1.0,1.053370786516854,191808.9887640448,100000.0,0.0
A5_purchase,C2,371,1.0,1.0377358490566035,226398.61132075478,82000.0,0.00033198607334804448
A5_purchase,C3_mid,380,1.0,1.0868421052631572,217392.10526315795,109000.0,0.0
A5_purchase,C4,420,1.0,1.3166666666666682,274025.82476190472,162000.0,0.00693231846803066
A5_purchase,C5_high_consistency,873,1.0,1.8636884306987409,454023.5457044674,309000.0,0.007312889072164863
