activation_stage_14d,consistency_segment,users,purchase_rate_180d,avg_orders_180d,avg_revenue_180d,avg_orders_180d_buyer_only,avg_revenue_180d_buyer_only,retention_w30,retention_w60,retention_w90,retention_last_week_173_179
A0_no_activity,C1_low_consistency,1211,0.015,0.015,3543.353,1.0,238388.889,0.35094962840627586,0.21222130470685369,0.17753922378199843,0.23451692815854666
A0_no_activity,C2,968,0.041,0.044,8348.0,1.075,202021.59,0.33057851239669395,0.2644628099173556,0.26136363636363624,0.30475206611570255
A0_no_activity,C3_mid,862,0.1,0.111,24116.767,1.116,241728.526,0.36658932714617215,0.34338747099767991,0.359628770301624,0.32134570765661258
A0_no_activity,C4,592,0.223,0.242,50145.844,1.083,224896.511,0.44256756756756743,0.402027027027027,0.45270270270270241,0.40033783783783783
A0_no_activity,C5_high_consistency,198,0.359,0.475,110716.211,1.324,308757.885,0.55050505050505016,0.52525252525252575,0.5505050505050505,0.48484848484848503
A1_view,C1_low_consistency,1326,0.06,0.061,11230.587,1.025,188503.266,0.34690799396681771,0.20588235294117646,0.19004524886877844,0.25791855203619934
A1_view,C2,1306,0.123,0.136,24145.572,1.099,195864.078,0.40275650842266447,0.33614088820826959,0.34532924961715167,0.32848392036753465
A1_view,C3_mid,1519,0.252,0.279,56726.948,1.107,224982.336,0.48650427913100713,0.5069124423963135,0.46938775510204095,0.46412113232389707
A1_view,C4,1608,0.47,0.535,112714.157,1.14,240058.76,0.69340796019900552,0.66231343283582123,0.676616915422885,0.63619402985074625
A1_view,C5_high_consistency,1087,0.698,1.033,246750.433,1.48,353383.032,0.83808647654093793,0.83716651333946646,0.82060717571297059,0.8068077276908916
A2_click,C1_low_consistency,2213,0.165,0.17,34906.951,1.03,211063.066,0.43154089471305956,0.34749209218255767,0.34568459105286953,0.4089471305919567
A2_click,C2,2360,0.242,0.253,51645.132,1.046,213454.487,0.49957627118644132,0.47288135593220326,0.48093220338983056,0.46186440677966023
A2_click,C3_mid,2332,0.334,0.364,72730.024,1.087,217444.124,0.60334476843910767,0.57975986277873115,0.57118353344768491,0.56346483704974315
A2_click,C4,2397,0.512,0.599,126121.191,1.17,246383.451,0.74885273258239482,0.726741760534001,0.72549019607843168,0.70713391739674714
A2_click,C5_high_consistency,2439,0.813,1.233,294891.193,1.516,362519.97,0.89134891348913459,0.88888888888888939,0.88970889708897094,0.86264862648626572
A3_add_to_cart,C1_low_consistency,637,0.201,0.201,35849.786,1.0,178408.702,0.41758241758241765,0.39246467817896424,0.37048665620094218,0.42543171114599626
A3_add_to_cart,C2,716,0.271,0.278,63043.201,1.026,232674.905,0.53212290502793291,0.50139664804469264,0.497206703910614,0.53351955307262577
A3_add_to_cart,C3_mid,613,0.351,0.378,79080.345,1.079,225470.938,0.61990212071778183,0.60522022838499168,0.58564437194127317,0.59053833605220163
A3_add_to_cart,C4,640,0.516,0.597,131603.527,1.158,255231.082,0.76406250000000031,0.74531249999999993,0.725,0.703125
A3_add_to_cart,C5_high_consistency,920,0.836,1.285,304259.37,1.537,364003.407,0.90652173913043521,0.90760869565217428,0.906521739130435,0.86630434782608645
A4_checkout,C1_low_consistency,150,0.293,0.293,65812.48,1.0,224360.727,0.44000000000000011,0.39333333333333331,0.39333333333333342,0.52666666666666651
A4_checkout,C2,162,0.216,0.222,46679.84,1.029,216060.971,0.580246913580247,0.44444444444444448,0.53086419753086445,0.51234567901234573
A4_checkout,C3_mid,182,0.379,0.385,90807.71,1.014,239521.787,0.65934065934065922,0.60439560439560447,0.60989010989010983,0.64285714285714324
A4_checkout,C4,239,0.51,0.573,117849.362,1.123,230868.833,0.828451882845188,0.72803347280334729,0.694560669456067,0.70292887029288664
A4_checkout,C5_high_consistency,381,0.84,1.283,320750.862,1.528,381893.995,0.90813648293963312,0.89238845144356949,0.89501312335957994,0.89501312335958
A5_purchase,C1_low_consistency,356,1.0,1.053,191808.989,1.053,191808.989,0.43820224719101131,0.40730337078651696,0.36516853932584281,0.42977528089887629
A5_purchase,C2,371,1.0,1.038,226398.611,1.038,226398.611,0.45013477088948778,0.45013477088948778,0.54986522911051194,0.48787061994609171
A5_purchase,C3_mid,380,1.0,1.087,217392.105,1.087,217392.105,0.67368421052631622,0.5973684210526321,0.56578947368421006,0.60000000000000087
A5_purchase,C4,420,1.0,1.317,274025.825,1.317,274025.825,0.766666666666667,0.7380952380952378,0.77619047619047576,0.74761904761904729
A5_purchase,C5_high_consistency,873,1.0,1.864,454023.546,1.864,454023.546,0.8957617411225659,0.89919816723940516,0.90836197021764,0.899198167239405
