window_days,bottleneck_step,activation_stage_14d,consistency_segment,conv_rate,dropoff_rate,denom,num,sessions,worst_rank
14,view_to_click,A1_view,C4,0.0,1.0,3193,0,3193,1
14,view_to_click,A1_view,C3_mid,0.0,1.0,3076,0,3076,2
14,view_to_click,A1_view,C2,0.0,1.0,2853,0,2853,3
14,view_to_click,A1_view,C1_low_consistency,0.0,1.0,2845,0,2845,4
14,view_to_click,A1_view,C5_high_consistency,0.0,1.0,2595,0,2595,5
14,view_to_click,A5_purchase,C1_low_consistency,0.43899317406143346,0.56100682593856654,2344,1029,2344,6
14,view_to_click,A5_purchase,C2,0.45191451469278715,0.54808548530721279,2246,1015,2246,7
14,view_to_click,A5_purchase,C3_mid,0.47494669509594883,0.52505330490405111,1876,891,1876,8
14,view_to_click,A5_purchase,C4,0.54226675015654346,0.45773324984345654,1597,866,1597,9
14,view_to_click,A5_purchase,C5_high_consistency,0.56002060793405462,0.43997939206594538,3882,2174,3882,10
30,click_to_cart,A2_click,C1_low_consistency,0.047021356313225925,0.9529786436867741,5338,251,15437,1
30,click_to_cart,A2_click,C2,0.053646269907795474,0.94635373009220447,5965,320,16587,2
30,click_to_cart,A0_no_activity,C1_low_consistency,0.07476635514018691,0.92523364485981308,214,16,1162,3
30,click_to_cart,A2_click,C3_mid,0.0764374680088722,0.92356253199112781,5861,448,15113,4
30,click_to_cart,A0_no_activity,C2,0.1,0.9,240,24,958,5
30,click_to_cart,A2_click,C4,0.11345141215892772,0.88654858784107227,6267,711,14599,6
30,click_to_cart,A2_click,C5_high_consistency,0.16011661807580174,0.8398833819241982,8575,1373,19416,7
30,click_to_cart,A0_no_activity,C3_mid,0.17037037037037037,0.82962962962962961,270,46,907,8
30,click_to_cart,A0_no_activity,C4,0.22356495468277945,0.77643504531722052,331,74,897,9
30,click_to_cart,A0_no_activity,C5_high_consistency,0.2655367231638418,0.7344632768361582,177,47,439,10
